procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 51401396 179484 10926292    0    0     0     0 3680 5829  1  0 99  0  0
 0  0      0 51401452 179484 10926336    0    0     0     0 4080 5731  0  1 99  0  0
 0  0      0 51401452 179484 10926380    0    0     0     0 3865 5748  0  0 99  0  0
 1  0      0 51402244 179484 10926420    0    0     0     5 3920 5892  0  0 99  0  0
 0  0      0 51401396 179484 10926484    0    0     0    87 4418 6062  0  0 99  0  0
 0  0      0 51401204 179484 10926532    0    0     0   649 4286 5842  0  0 99  0  0
 0  0      0 51401196 179484 10926576    0    0     0     1 4037 5729  0  0 99  0  0
 0  0      0 51401072 179484 10926616    0    0     0     0 4048 5751  0  0 99  0  0
 0  0      0 51401072 179484 10926660    0    0     0     5 3730 5654  0  0 99  0  0
 1  0      0 51400480 179484 10926708    0    0     0   139 4181 6181  1  0 99  0  0
 0  0      0 51400612 179484 10926764    0    0     0   353 4520 6354  1  0 99  0  0
 0  0      0 51400892 179484 10926808    0    0     0     1 4523 6443  0  1 99  0  0
 0  0      0 51406872 179484 10926868    0    0     0     0 4564 6272  1  0 99  0  0
 0  0      0 51407104 179484 10926908    0    0     0     5 3895 5741  1  0 99  0  0
 0  0      0 51407104 179484 10926948    0    0     0   115 4035 5812  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 51407228 179484 10927012    0    0     0     0 4707 6730  0  0 99  0  0
 0  0      0 51407332 179484 10927068    0    0     0     0 4566 5990  0  0 99  0  0
 0  0      0 51407332 179484 10927112    0    0     0     0 3720 5528  1  0 99  0  0
 0  0      0 51407172 179484 10927168    0    0     0     5 4182 5789  1  0 99  0  0
 0  0      0 51406972 179484 10927216    0    0     0    83 4348 6358  1  0 99  0  0
 0  0      0 51405824 179484 10927256    0    0     0   593 4137 6090  1  1 99  0  0
 0  0      0 51405956 179484 10927308    0    0     0     1 4043 5741  0  0 99  0  0
 0  0      0 51405804 179484 10927360    0    0     0     0 3849 5556  0  0 99  0  0
 1  0      0 51405804 179484 10927400    0    0     0     5 3971 5695  1  0 99  0  0
 0  0      0 51405804 179484 10927444    0    0     0   159 3798 5598  0  0 99  0  0
 0  0      0 51405804 179484 10927488    0    0     0     0 3878 5699  0  0 99  0  0
 0  0      0 51405804 179484 10927536    0    0     0    38 4177 5893  0  0 99  0  0
 0  0      0 51406016 179484 10927608    0    0     0     0 4578 6221  0  1 99  0  0
